,#graphs_train,avgNodes_train,avgEdges_train,#graphs_val,avgNodes_val,avgEdges_val,#graphs_test,avgNodes_test,avgEdges_test
0-NCI1,328.0,29.35670731707317,31.71951219512195,83.0,25.83132530120482,27.72289156626506,83.0,25.83132530120482,27.72289156626506
1-NCI1,328.0,31.701219512195124,34.36585365853659,83.0,33.74698795180723,36.89156626506024,83.0,33.74698795180723,36.89156626506024
2-NCI1,328.0,28.753048780487806,31.11890243902439,83.0,27.650602409638555,29.795180722891565,83.0,27.650602409638555,29.795180722891565
3-NCI1,328.0,27.09451219512195,29.085365853658537,83.0,30.698795180722893,32.95180722891566,83.0,30.698795180722893,32.95180722891566
4-NCI1,328.0,30.646341463414632,33.36280487804878,83.0,31.132530120481928,33.27710843373494,83.0,31.132530120481928,33.27710843373494
5-NCI1,328.0,31.317073170731707,34.0,83.0,34.566265060240966,37.68674698795181,83.0,34.566265060240966,37.68674698795181
6-NCI1,328.0,27.4390243902439,29.61890243902439,83.0,25.602409638554217,27.53012048192771,83.0,25.602409638554217,27.53012048192771
7-NCI1,328.0,31.365853658536587,33.86280487804878,83.0,32.75903614457831,35.42168674698795,83.0,32.75903614457831,35.42168674698795
8-NCI1,328.0,30.170731707317074,32.65243902439025,83.0,28.662650602409638,30.91566265060241,83.0,28.662650602409638,30.91566265060241
9-NCI1,328.0,31.045731707317074,33.57012195121951,83.0,27.072289156626507,29.397590361445783,83.0,27.072289156626507,29.397590361445783
